segment_index,timestamp,primary_label,infrastructure_type,infrastructure_category,is_infrastructure_boolean,corresponding_gps_index,start_time,end_time,segment_length,segment_duration_sec,distance_to_infrastructure_m,gps_latitude,gps_longitude,gps_speed_kmh,folder_source,labeling_method
10,100.0,Normal Track,Normal Track,Normal Track,False,2000,100.0,110.0,5000,10,77.18269475611163,60.7065963,15.0439118,140.248489379883,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
11,110.0,Normal Track,Normal Track,Normal Track,False,2200,110.0,120.0,5000,10,244.12166555965723,60.6963015,15.0632365,137.843505859375,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
12,120.0,Bridge,Bridge,Infrastructure,True,2400,120.0,130.0,5000,10,93.16873953403082,60.685138,15.078245,114.533500671387,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
13,130.0,Normal Track,Normal Track,Normal Track,False,2600,130.0,140.0,5000,10,120.18152428619543,60.6798286,15.0907056,55.6479988098145,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
14,140.0,Normal Track,Normal Track,Normal Track,False,2800,140.0,150.0,5000,10,61.9575438819642,60.6764656,15.0946551,27.4169998168945,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
15,150.0,RailJoint,RailJoint,Infrastructure,True,3000,150.0,160.0,5000,10,38.752974946972465,60.6752181,15.0952988,0.25900000333786,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
16,160.0,RailJoint,RailJoint,Infrastructure,True,3200,160.0,170.0,5000,10,40.671787994276535,60.6751935,15.0953291,6.84500026702881,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
17,170.0,Normal Track,Normal Track,Normal Track,False,3400,170.0,180.0,5000,10,209.7742893735365,60.6737266,15.0968915,29.9330005645752,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
18,180.0,RailJoint,RailJoint,Infrastructure,True,3600,180.0,190.0,5000,10,53.91896242375255,60.6705455,15.1000533,33.7069969177246,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
19,190.0,Normal Track,Normal Track,Normal Track,False,3800,190.0,200.0,5000,10,131.42398479825326,60.666135,15.1031191,72.2054977416992,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
20,200.0,Normal Track,Normal Track,Normal Track,False,4000,200.0,210.0,5000,10,287.2201925736715,60.6563716,15.101852,119.768997192383,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
21,210.0,Normal Track,Normal Track,Normal Track,False,4200,210.0,220.0,5000,10,83.39084749386316,60.6434918,15.0991393,136.04899597168,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
22,220.0,Normal Track,Normal Track,Normal Track,False,4400,220.0,230.0,5000,10,669.5742898815481,60.6312525,15.0891696,136.252502441406,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
23,230.0,Normal Track,Normal Track,Normal Track,False,4600,230.0,240.0,5000,10,675.2150472674512,60.6199023,15.073909,127.908996582031,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
24,240.0,Normal Track,Normal Track,Normal Track,False,4800,240.0,250.0,5000,10,133.018794052705,60.6079003,15.0701666,93.9615020751953,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
25,250.0,RailJoint,RailJoint,Infrastructure,True,5000,250.0,260.0,5000,10,38.27235872046486,60.6014673,15.075833,54.2049980163574,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
26,260.0,RailJoint,RailJoint,Infrastructure,True,5200,260.0,270.0,5000,10,31.02751664626566,60.5997336,15.0790991,0.0,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
27,270.0,RailJoint,RailJoint,Infrastructure,True,5400,270.0,280.0,5000,10,34.50280026597185,60.599719,15.0791593,0.795500040054321,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
28,280.0,RailJoint,RailJoint,Infrastructure,True,5600,280.0,290.0,5000,10,41.37313695769846,60.5974258,15.0834575,55.7589988708496,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
29,290.0,Normal Track,Normal Track,Normal Track,False,5800,290.0,300.0,5000,10,103.10076153758368,60.5925245,15.0971063,108.169502258301,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
30,300.0,RailJoint,RailJoint,Infrastructure,True,6000,300.0,310.0,5000,10,43.99788343088737,60.5826311,15.1141455,142.838500976562,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
31,310.0,Normal Track,Normal Track,Normal Track,False,6200,310.0,320.0,5000,10,454.1947783788314,60.57058,15.1242483,116.919998168945,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
32,320.0,Normal Track,Normal Track,Normal Track,False,6400,320.0,330.0,5000,10,217.59426490585994,60.5626705,15.1314375,68.4869995117188,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
33,330.0,Normal Track,Normal Track,Normal Track,False,6600,330.0,340.0,5000,10,157.06000576149157,60.5599886,15.1377366,0.703000009059906,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
34,340.0,Normal Track,Normal Track,Normal Track,False,6800,340.0,350.0,5000,10,154.291044044507,60.5600265,15.1378088,0.388499975204468,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
35,350.0,Bridge,Bridge,Infrastructure,True,7000,350.0,360.0,5000,10,31.21608218687442,60.5593776,15.1405363,36.4449996948242,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
36,360.0,Normal Track,Normal Track,Normal Track,False,7200,360.0,370.0,5000,10,113.2810693518576,60.5566128,15.1527283,92.0929946899414,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
37,370.0,Normal Track,Normal Track,Normal Track,False,7400,370.0,380.0,5000,10,96.25444603892883,60.5517843,15.1745601,140.67399597168,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
38,380.0,Normal Track,Normal Track,Normal Track,False,7600,380.0,390.0,5000,10,396.7879827183127,60.5518188,15.2028755,138.879501342773,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
39,390.0,RailJoint,RailJoint,Infrastructure,True,7800,390.0,400.0,5000,10,50.152051188879774,60.5536915,15.2310153,139.675003051758,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
40,400.0,Normal Track,Normal Track,Normal Track,False,8000,400.0,410.0,5000,10,162.15092739385784,60.5515441,15.2589548,137.158996582031,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
41,410.0,Normal Track,Normal Track,Normal Track,False,8200,410.0,420.0,5000,10,129.53390971493815,60.5466353,15.2782676,104.0625,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
42,420.0,Bridge,Bridge,Infrastructure,True,8400,420.0,430.0,5000,10,75.1280237021663,60.5366021,15.2800181,98.4384994506836,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
43,430.0,Normal Track,Normal Track,Normal Track,False,8600,430.0,440.0,5000,10,341.7230282112206,60.5292806,15.2892221,100.936004638672,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
44,440.0,Normal Track,Normal Track,Normal Track,False,8800,440.0,450.0,5000,10,152.69643244405728,60.5265868,15.3057246,80.8634948730469,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
45,450.0,Normal Track,Normal Track,Normal Track,False,9000,450.0,460.0,5000,10,104.04711940473125,60.5218425,15.3203436,98.5494995117188,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
46,460.0,Normal Track,Normal Track,Normal Track,False,9200,460.0,470.0,5000,10,67.09874511520553,60.5158251,15.3385618,104.395500183105,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
47,470.0,RailJoint,RailJoint,Infrastructure,True,9400,470.0,480.0,5000,10,47.37390998811429,60.5094891,15.3561101,116.346496582031,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
48,480.0,Normal Track,Normal Track,Normal Track,False,9600,480.0,490.0,5000,10,1305.3984122654726,60.5034715,15.3758976,110.482002258301,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
49,490.0,Normal Track,Normal Track,Normal Track,False,9800,490.0,500.0,5000,10,2067.7404637925456,60.5062391,15.392999,82.9540023803711,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
50,500.0,Normal Track,Normal Track,Normal Track,False,10000,500.0,510.0,5000,10,2837.888397426012,60.506743,15.4074335,63.6214981079102,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
51,510.0,Normal Track,Normal Track,Normal Track,False,10200,510.0,520.0,5000,10,3326.2380253238402,60.502304,15.4147703,58.6080017089844,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
52,520.0,Normal Track,Normal Track,Normal Track,False,10400,520.0,530.0,5000,10,3797.609208799414,60.4970885,15.4203156,60.2360038757324,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
53,530.0,Normal Track,Normal Track,Normal Track,False,10600,530.0,540.0,5000,10,4350.328333296493,60.493264,15.4279473,45.5100021362305,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
54,540.0,Normal Track,Normal Track,Normal Track,False,10800,540.0,550.0,5000,10,4798.444441457507,60.489746,15.4335373,54.5194969177246,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
55,550.0,Normal Track,Normal Track,Normal Track,False,11000,550.0,560.0,5000,10,4823.657344149345,60.4859546,15.4295086,31.0430011749268,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
56,560.0,Normal Track,Normal Track,Normal Track,False,11200,560.0,570.0,5000,10,4852.709520816824,60.4833785,15.4264385,9.63850021362305,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
57,570.0,Normal Track,Normal Track,Normal Track,False,11400,570.0,580.0,5000,10,4824.958630996998,60.4830601,15.4252958,0.0,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
58,580.0,Normal Track,Normal Track,Normal Track,False,11600,580.0,590.0,5000,10,4826.032085114735,60.4829491,15.4251431,0.721499979496002,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
59,590.0,Normal Track,Normal Track,Normal Track,False,11800,590.0,600.0,5000,10,4828.477478180458,60.4828956,15.4251141,0.166500002145767,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
60,600.0,Normal Track,Normal Track,Normal Track,False,12000,600.0,610.0,5000,10,4825.249307399652,60.4829276,15.4250903,1.05449998378754,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
61,610.0,Normal Track,Normal Track,Normal Track,False,12200,610.0,620.0,5000,10,4821.820365225743,60.483028,15.4251715,0.24049998819828,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
62,620.0,Normal Track,Normal Track,Normal Track,False,12400,620.0,630.0,5000,10,4821.524014800336,60.483025,15.4251598,0.0185000002384186,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
63,630.0,Normal Track,Normal Track,Normal Track,False,12600,630.0,640.0,5000,10,4821.590087123094,60.4830276,15.4251655,0.185000002384186,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
64,640.0,Normal Track,Normal Track,Normal Track,False,12800,640.0,650.0,5000,10,4822.083327034981,60.4830273,15.4251765,0.0185000002384186,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
65,650.0,Normal Track,Normal Track,Normal Track,False,13000,650.0,660.0,5000,10,4823.4370862087135,60.4830133,15.4251856,0.647499978542328,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
66,660.0,Normal Track,Normal Track,Normal Track,False,13200,660.0,670.0,5000,10,4831.842454769758,60.4828738,15.4251575,0.536499977111816,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
67,670.0,Normal Track,Normal Track,Normal Track,False,13400,670.0,680.0,5000,10,4844.901910720529,60.4828236,15.4253813,0.425500005483627,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
68,680.0,Normal Track,Normal Track,Normal Track,False,13600,680.0,690.0,5000,10,4847.646979052147,60.482774,15.4253655,0.370000004768372,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
69,690.0,Normal Track,Normal Track,Normal Track,False,13800,690.0,700.0,5000,10,4844.8535566416585,60.4828388,15.4254046,1.01750004291534,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
70,700.0,Normal Track,Normal Track,Normal Track,False,14000,700.0,710.0,5000,10,4841.578579866342,60.4828788,15.4253925,0.24049998819828,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
71,710.0,Normal Track,Normal Track,Normal Track,False,14200,710.0,720.0,5000,10,4841.2513544210815,60.4828795,15.425386,0.0185000002384186,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
72,720.0,Normal Track,Normal Track,Normal Track,False,14400,720.0,730.0,5000,10,4840.871024618897,60.4828796,15.4253773,0.333000004291534,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
73,730.0,Normal Track,Normal Track,Normal Track,False,14600,730.0,740.0,5000,10,4841.500530495535,60.4828348,15.42532,0.832499980926514,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
74,740.0,Normal Track,Normal Track,Normal Track,False,14800,740.0,750.0,5000,10,4839.157111677265,60.4828785,15.4253356,0.24049998819828,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
75,750.0,Normal Track,Normal Track,Normal Track,False,15000,750.0,760.0,5000,10,4838.192990553701,60.4828735,15.4253051,0.0185000002384186,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
76,760.0,Normal Track,Normal Track,Normal Track,False,15200,760.0,770.0,5000,10,4837.545034231894,60.4828801,15.4253006,0.0185000002384186,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
77,770.0,Normal Track,Normal Track,Normal Track,False,15400,770.0,780.0,5000,10,4837.070176421919,60.4828845,15.4252966,0.0,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
78,780.0,Normal Track,Normal Track,Normal Track,False,15600,780.0,790.0,5000,10,4836.774501862854,60.4828863,15.4252926,0.0185000002384186,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
79,790.0,Normal Track,Normal Track,Normal Track,False,15800,790.0,800.0,5000,10,4836.493534732317,60.482891,15.4252936,0.0185000002384186,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
80,800.0,Normal Track,Normal Track,Normal Track,False,16000,800.0,810.0,5000,10,4837.693389839256,60.4828838,15.42531,0.869499981403351,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
81,810.0,Normal Track,Normal Track,Normal Track,False,16200,810.0,820.0,5000,10,4827.901393097904,60.4829495,15.4251873,0.370000004768372,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
82,820.0,Normal Track,Normal Track,Normal Track,False,16400,820.0,830.0,5000,10,4830.752095316635,60.4829293,15.4252213,0.776999950408936,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
83,830.0,Normal Track,Normal Track,Normal Track,False,16600,830.0,840.0,5000,10,4834.635649643635,60.4828943,15.4252556,0.795500040054321,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
84,840.0,Normal Track,Normal Track,Normal Track,False,16800,840.0,850.0,5000,10,4827.976050746455,60.4829713,15.425224,0.647499978542328,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
85,850.0,Normal Track,Normal Track,Normal Track,False,17000,850.0,860.0,5000,10,4831.068253795216,60.483001,15.4253435,0.758499979972839,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
86,860.0,Normal Track,Normal Track,Normal Track,False,17200,860.0,870.0,5000,10,4833.443852186443,60.4828475,15.4251525,0.814000010490417,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
87,870.0,Normal Track,Normal Track,Normal Track,False,17400,870.0,880.0,5000,10,4830.876004710809,60.482867,15.425124,0.629000008106232,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
88,880.0,Normal Track,Normal Track,Normal Track,False,17600,880.0,890.0,5000,10,4829.843895180207,60.482884,15.4251273,0.277500003576279,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
89,890.0,Normal Track,Normal Track,Normal Track,False,17800,890.0,900.0,5000,10,4835.636770129822,60.4828776,15.4252521,0.887999951839447,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
90,900.0,Normal Track,Normal Track,Normal Track,False,18000,900.0,910.0,5000,10,4834.13919372421,60.4828931,15.4252421,0.499500006437302,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
91,910.0,Normal Track,Normal Track,Normal Track,False,18200,910.0,920.0,5000,10,4840.712706981587,60.4828433,15.4253153,1.01750004291534,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
92,920.0,Normal Track,Normal Track,Normal Track,False,18400,920.0,930.0,5000,10,4842.330976209324,60.4828771,15.4254073,0.203500002622604,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
93,930.0,Normal Track,Normal Track,Normal Track,False,18600,930.0,940.0,5000,10,4850.900574443605,60.4827901,15.4254673,1.25800001621246,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
94,940.0,Normal Track,Normal Track,Normal Track,False,18800,940.0,950.0,5000,10,4844.686302383971,60.4828,15.4253383,1.20249998569489,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
95,950.0,Normal Track,Normal Track,Normal Track,False,19000,950.0,960.0,5000,10,4829.195543025277,60.4829645,15.4252415,0.703000009059906,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
96,960.0,Normal Track,Normal Track,Normal Track,False,19200,960.0,970.0,5000,10,4815.5638838549075,60.48307,15.4250931,1.94249987602234,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
97,970.0,Normal Track,Normal Track,Normal Track,False,19400,970.0,980.0,5000,10,4832.442906930054,60.482908,15.4252265,1.7389999628067,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
98,980.0,Normal Track,Normal Track,Normal Track,False,19600,980.0,990.0,5000,10,4833.732335846175,60.4829175,15.4252718,0.370000004768372,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
99,990.0,Normal Track,Normal Track,Normal Track,False,19800,990.0,1000.0,5000,10,4824.497925110707,60.4830623,15.4252886,1.55399990081787,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
100,1000.0,Normal Track,Normal Track,Normal Track,False,20000,1000.0,1010.0,5000,10,4824.7691651517025,60.4831601,15.4254505,0.0370000004768372,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
101,1010.0,Normal Track,Normal Track,Normal Track,False,20200,1010.0,1020.0,5000,10,4825.233373129269,60.4831518,15.4254481,0.0185000002384186,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
102,1020.0,Normal Track,Normal Track,Normal Track,False,20400,1020.0,1030.0,5000,10,4825.280776445353,60.4831268,15.4254095,0.758499979972839,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
103,1030.0,Normal Track,Normal Track,Normal Track,False,20600,1030.0,1040.0,5000,10,4825.051712550956,60.4831343,15.4254161,0.370000004768372,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
104,1040.0,Normal Track,Normal Track,Normal Track,False,20800,1040.0,1050.0,5000,10,4823.067405347833,60.4831305,15.425364,0.980499923229218,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
105,1050.0,Normal Track,Normal Track,Normal Track,False,21000,1050.0,1060.0,5000,10,4832.419864602137,60.483013,15.4253941,0.925000011920929,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
106,1060.0,Normal Track,Normal Track,Normal Track,False,21200,1060.0,1070.0,5000,10,4834.8921541976515,60.482839,15.4251726,0.740000009536743,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
107,1070.0,Normal Track,Normal Track,Normal Track,False,21400,1070.0,1080.0,5000,10,4839.825683991939,60.4829293,15.4254326,0.0740000009536743,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
108,1080.0,Normal Track,Normal Track,Normal Track,False,21600,1080.0,1090.0,5000,10,4846.6630289883,60.4827241,15.425262,0.0925000011920929,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
109,1090.0,Normal Track,Normal Track,Normal Track,False,21800,1090.0,1100.0,5000,10,4846.482979192134,60.4827831,15.425353,0.25900000333786,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
110,1100.0,Normal Track,Normal Track,Normal Track,False,22000,1100.0,1110.0,5000,10,4857.264593686999,60.4825466,15.4252221,0.370000004768372,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
111,1110.0,Normal Track,Normal Track,Normal Track,False,22200,1110.0,1120.0,5000,10,4835.290739829749,60.4827898,15.4251025,0.740000009536743,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
112,1120.0,Normal Track,Normal Track,Normal Track,False,22400,1120.0,1130.0,5000,10,4837.267631756003,60.48301,15.425502,1.51699995994568,2024-12-10 16-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
